,title,imdb_id,budget,revenue
165,The Good War,835585,0,0
166,Where the Money Is,31776,0,0
167,All the Pretty Horses,21355,57000000,0
168,Camouflage,56085,10000000,0
169,Josh,33871,0,0
170,Last Fair Deal,848857,0,0
171,Laughing Boy,178936,0,0
172,Ljuset håller mig sällskap,150578,0,0
173,Love,43347,30000000,102820008
174,Probably Love,825121,0,0
175,Swing Set,94568,0,0
176,The Thief & the Stripper,505053,0,0
177,Time of Her Time,232536,0,0
178,Flowers of Femme,-1,-1,-1
179,Up at the Villa,47724,0,0
180,Venus Delights,-1,-1,-1
181,Jackpot,78479,0,0
182,Bitten: Victoria's Shadow,30045,0,0
183,Wild Blue,8410,0,0
184,The Bacchae,574863,0,0
185,Condo Painting,110666,0,0
186,Home Movies,622146,0,0
187,Secrets of a Chambermaid,60984,0,0
188,A Good Baby,144524,0,0
189,I'll Remember April,119349,1800000,0
190,Ricky 6,102463,0,0
191,St. Andrew's Girls,206710,0,0
192,The Adventures of Space Baby and Mental Man,-1,-1,-1
193,Screwed,19419,0,0
194,Book of Love: The Definitive Reason Why Men Are Dogs,155680,0,0
195,Apartment 12,69071,0,0
196,Mad About Mambo,43079,0,0
197,Mr. Accident,37716,0,0
198,My Dog Skip,17908,6000000,35547761
199,The Next Best Thing,1831,25000000,24362772
200,Rave,24939,0,0
201,After Image,154105,1400000,0
202,One Last Dance,25665,0,0
203,Yup Yup Man,106911,0,0
204,2001: A Space Travesty,7290,26000000,0
205,Clockstoppers,15028,26000000,38793283
206,Enigma,10491,0,15705007
207,Island of the Dead,181056,0,0
208,Nora,24810,0,0
209,The Flintstones in Viva Rock Vegas,889,83000000,59468275
210,Lennon,397704,0,0
211,18 D,630220,2500000,3486375
212,April's Fool,-1,-1,-1
213,Behind Enemy Lines,8007,40000000,91753202
214,Bluebird,576707,0,0
215,Attention Shoppers,288116,0,0
216,Cold Mountain,2289,79000000,173013509
217,Cooper and Hemingway: The True Gen,224332,0,0
218,Impact,9594,15000000,30102717
219,The Demo Crew,310836,0,0
220,Civility,291334,0,0
221,Takedown,10429,0,0
222,The Third Vehicle,-1,-1,-1
223,Whirlwind 2,58055,0,0
224,The Art of War,11398,40000000,30199105
225,Charlie's Angels,458897,48000000,73279888
226,Desperate But Not Serious,308193,0,0
227,Eye See You,10375,55000000,6632383
228,Duty Dating,224004,0,0
229,Easter,29380,0,0
230,The Unscarred,339308,0,0
231,False River,271571,0,0
232,Fat Chance,781912,0,0
233,Final Solution,80811,0,0
234,Four Dogs Playing Poker,20445,0,0
235,The Homeboy,608358,0,0
236,Impostor,4965,40000000,8694320
237,The Independent,81442,0,0
238,It Burns When I Laugh,-1,-1,-1
239,Killing Cinderella,-1,-1,-1
240,Housebound,253306,0,0
241,The Last Great Ride,269015,0,0
242,Long Lost Love,-1,-1,-1
243,Lost Souls,10383,50000000,31355910
244,Luckytown,46269,12000000,0
245,More Dogs Than Bones,60814,0,0
246,Open Return,-1,-1,-1
247,Ordinary Decent Criminal,12490,0,0
248,Other Voices,54721,800000,0
249,Passion of Mind,19214,0,0
250,The Perfect Tenant,220946,0,0
251,Blast,45556,5000000,0
252,The Prodigy,532671,6000000,21150265
253,Punks,584966,0,0
254,Red Dirt,87107,0,0
255,The Redemption,278,25000000,28341469
256,Breathing Under Water,384977,0,0
257,Rules of Engagement,10479,60000000,71000000
258,Shades of Darkness,215338,0,0
259,Silent Screamplay,472932,0,0
260,Spooky House,110989,0,0
261,Train Ride,246651,0,0
262,Pure,19065,17010000,24941969
263,What Lies Beneath,2655,100000000,291420351
264,What's the Worst That Could Happen?,14034,60000000,38400000
265,White Boy,438808,29000000,26000000
266,Working Stiff,347262,0,0
267,Steal This Movie,18153,0,0
268,Slice & Dice,193714,0,0
269,Nowhere in Africa,1591,0,0
270,Unseen Evil,77047,0,0
271,Blue Shark Hash,422279,0,0
272,Cast Away,8358,90000000,429632142
273,Ghost World,1548,7000000,0
274,Shaft,486131,30000000,21360215
275,Stained Glass,360122,0,0
276,Trixie,31610,0,0
277,Three Days of Rain,54096,3500000,0
278,Hanging Up,10385,60000000,51880044
279,Jurassic Park III,331,93000000,368780809
280,The Magic Pudding,34037,0,0
281,The Operator,223537,0,0
282,Skippy,84295,0,0
283,Dark Water,9009,30000000,49483352
284,The in Crowd,36047,15000000,5217498
285,The Debut,38135,1000000,0
286,Net Worth,83166,0,0
287,The Beach,632304,0,0
288,Bless the Child,10391,40000000,0
289,City of Ghosts,31932,0,0
290,Hollow Man,9383,95000000,190213455
291,The Stonecutter,276006,0,0
292,The Sum of All Fears,4614,68000000,193921372
293,Boltneck,3152,0,0
294,Under Suspicion,10562,25000000,260562
295,Across the Line,356301,0,0
296,Along Came a Spider,2043,60000000,105178561
297,Doomsday Man,228659,0,0
298,Early Bird Special,-1,-1,-1
299,Frannie Lew High,-1,-1,-1
300,Pipe Dream,47500,0,0
301,Urban Mythology,621604,0,0
302,Vidocq,9597,0,0
303,Couch Taters,-1,-1,-1
304,Highway,638,15000000,3675201
305,Nautilus,46462,0,0
306,The Rules (for Men),315991,0,0
307,Black Sea 213,300890,0,0
308,The Distinct Smell of Red,521391,0,0
309,The Giving Tree,701494,0,0
310,Interstate 60: Episodes of the Road,20312,7000000,0
311,The NSA,465767,0,0
312,No Pills in Happyland,-1,-1,-1
313,Revenge,467938,2900000,692079
314,Romeo Must Die,2085,25000000,91036760
315,Sinbad: Legend of the Seven Seas,14411,60000000,80767884
316,When the Sky Falls,99011,0,0
317,Bones,7980,65000000,93621340
318,Daddy and Them,33557,4000000,6718
319,Still Life,216156,0,0
320,Finding Kelly,160158,0,0
321,Monkeybone,23685,75000000,5409517
322,Screenland Drive,-1,-1,-1
323,Subconscious Cruelty,36224,100000,0
324,Quartzite's Fall: A Wilderness Tale,-1,-1,-1
325,Spirit: Stallion of the Cimarron,9023,80000000,122563539
326,Mulholland Drive,1018,15000000,20117339
327,Cugini,209524,0,0
328,Desert Saints,2095,0,0
329,The Girls' Room,246180,0,0
330,Hellboy,456740,50000000,44664690
331,I Dreamed of Africa,21311,34000000,14400327
332,The Lord of the Rings: The Return of the King,122,94000000,1118888979
333,The Lord of the Rings: The Two Towers,121,79000000,926287400
334,Race to Space,61473,0,0
335,Red Team,209342,0,0
336,Thunderbirds,14623,57000000,28283637
337,The Boys Behind the Desk,715198,0,0
338,Aberdeen,26665,0,0
339,A Better Way to Die,23705,0,0
340,The Bird Watcher,330452,0,0
341,Bittersweet Motel,26244,0,0
342,"Chicks, Man",302924,0,0
343,The Playaz Court,75031,10000,10000
344,Dancer in the Dark,16,12800000,40031879
345,Innocents,16372,0,0
346,Dream Witch,444679,0,0
347,Antwone Fisher,13435,12500000,23367586
348,A Fish Tale,485523,0,0
349,A Night at Sophie's,-1,-1,-1
350,Lagaan: Once Upon a Time in India,19666,5200000,8100000
351,Perfumed Garden: Tales of the Kama Sutra,-1,-1,-1
352,Tick Tock,352812,0,0
353,Whatcha Want,-1,-1,-1
354,Almost Blue,58195,0,0
355,Baggage,175528,8500000,22456509
356,Hollywood Palms,207693,0,0
357,How the Grinch Stole Christmas,8871,123000000,345141403
358,Morgan's Ferry,95143,0,0
359,Peroxide Passion,308615,0,0
360,Prince of Central Park,201724,0,0
361,Il resto di niente,56943,0,0
362,TGM the Liberator,545396,0,0
363,Tigerland,10687,10000000,148701
364,Generation Ax,425968,0,0
365,Gun Shy,430682,0,0
366,Hamlet,10549,0,0
367,Keeping the Faith,4967,30000000,59945183
368,The Kidnapping of Chris Burden,-1,-1,-1
369,Nurse Betty,10480,24000000,0
370,The Thundering 8th,-1,-1,-1
371,Bad Boys II,8961,130000000,273339556
372,The Million Dollar Kid,160147,0,0
373,Gladiator,98,103000000,465361176
374,He Died with a Felafel in His Hand,13777,0,0
375,Joe Gould's Secret,125709,0,0
376,Labor Pains,19794,10000000,1895782
377,The Apostate,718395,752,0
378,Naked with Loons,-1,-1,-1
379,Party Crasher: My Bloody Birthday,245348,100000,0
380,Play Dead,28813,0,0
381,Zigs,57356,0,0
382,The Sexy Mysterious Murders,-1,-1,-1
383,Cecil B. Demented,14195,10000000,0
384,Final Fantasy: The Spirits Within,2114,137000000,85131830
385,Pursuit,438650,60000000,76419755
386,Whipped,17314,10000000,0
387,Autumn in New York,10641,65000000,0
388,Just for the Time Being,55039,0,0
389,Herman U.S.A.,165621,0,0
390,Pig,635731,0,2652024
391,Retiring Tatiana,195791,0,0
392,Scary Movie,4247,19000000,278019771
393,Hangman,323368,0,0
394,Cherry Falls,12619,0,0
395,Flicker Tourage,-1,-1,-1
396,The Story of O: Untold Pleasures,60990,0,0
397,Tripfall,89553,0,0
398,Building Bridges,753082,0,0
399,Bullfighter,45548,0,0
400,Delta Force One: The Lost Patrol,114620,0,0
401,The Tragedy of Man,116369,0,0
402,Fly on the Wall,499953,0,0
403,Gossip,18041,14000000,5108820
404,Kids World,125498,0,0
405,Once in the Life,45203,0,0
406,The Rowdy Girls,75953,0,0
407,Sample People,81247,30000,0
408,The Strange Case of Señor Computer,35617,0,0
409,All the Wrong Places,281537,0,0
410,Beloved Clara,8890,0,0
411,Company Man,44412,16000000,146193
412,Hotel Splendide,67252,0,0
413,In July,244509,0,427418
414,Kebab Connection,2004,0,0
415,Killer Bud,50501,3000000,0
416,King of the Jungle,140511,0,27
417,The Perfect Storm,2133,120000000,325756637
418,Women of the Night,80847,0,0
419,Stranger Than Fiction,1262,30000000,53653224
420,Sunset Strip,117262,0,0
421,Fearless Juan,-1,-1,-1
422,The Invisible Circus,18856,0,0
423,Moonlight Mile,31005,21000000,10011050
424,Dean Quixote,642229,0,0
425,Nice Guys Finish Dead,-1,-1,-1
426,Fortress 2: Re-Entry,11119,11000000,0
427,Homeland,218208,0,0
428,Tell Me No Lies,111847,0,0
429,Out of Depth,355470,0,0
430,The Proposal,18240,40000000,317375031
431,Rancid Aluminum,-1,-1,-1
432,"South of Heaven, West of Hell",24470,4000000,0
433,15 Minutes,2749,60000000,56359980
434,Astoria,19363,0,0
435,Dark of Night,461315,0,0
436,Angels with Angles,277310,0,0
437,"Hemingway, the Hunter of Death",-1,-1,-1
438,Icebreaker,15090,0,0
439,Just Sue Me,841691,0,0
440,The Adventures of Pluto Nash,11692,100000000,7103973
441,Quills,10876,13500000,7060876
442,Requiem for a Dream,641,4500000,7390108
443,...an Incredible Simulation,-1,-1,-1
444,Escanaba in da Moonlight,39497,0,0
445,Everything's Jake,8784,0,0
446,Hardball,20857,32000000,40222729
447,Not a Day Goes By,661860,20000,0
448,What Planet Are You From?,10416,60000000,0
449,Almost Anything,461266,0,0
450,Best,669659,0,0
451,Crossing the Rubicon,-1,-1,-1
452,Finding Forrester,711,43000000,80049764
453,In Our Own Hands,536643,0,0
454,Minority Report,180,102000000,358372926
455,Osmosis Jones,12610,75000000,13596911
456,Accidents Don't Happen,-1,-1,-1
457,The Specials,29015,0,0
458,Terminator 3: Rise of the Machines,296,200000000,435000000
459,Traffic,1900,48000000,207515725
460,Almost Famous,786,60000000,47386287
461,A Piece of Eden,277307,0,0
462,Boiler Room,14181,7000000,28780255
463,The Caveman's Valentine,25208,13500000,794481
464,The Cure for Boredom,281281,0,0
465,Love's Labour's Lost,51333,13000000,299792
466,Urbania,77332,0,0
467,Belong,334537,0,0
468,Blame It on the Moon,-1,-1,-1
469,Gentleman B.,254319,0,0
470,Gunblast Vodka,232470,0,0
471,Intrepid,153623,0,0
472,Love Beat the Hell Outta Me,170074,0,0
473,A Man Is Mostly Water,414787,0,0
474,"Me, Myself & Irene",2123,51000000,149270999
475,Mission to Mars,2067,90000000,60874615
476,My Mother Frank,160832,0,0
477,The Pavilion,229128,0,0
478,Phone Booth,1817,13000000,97837138
479,Pollock,12509,6,8
480,A Knight's Tale,9476,65000000,117487473
481,Spanish Judges,141319,3500000,0
482,Taxi 2,2332,10500000,64400000
483,What I Like About You,-1,-1,-1
484,A Day in Black and White,67271,0,0
485,"Farewell, My Love",603449,0,0
486,Galaxy Express 999: To the Center of the Universe!,-1,-1,-1
487,Maryam,551027,0,0
488,O,879163,0,0
489,Reindeer Games,2155,42000000,32168970
490,Shanghai Noon,8584,55000000,56932305
491,Snow Day,15489,130000000,62500000
492,The Uniform Code,-1,-1,-1
493,Whispers: An Elephant's Tale,51107,4,537
494,Wonder Boys,11004,35000000,0
495,Battlefield Earth,5491,73000000,29000000
496,Bullslingers,-1,-1,-1
497,Diaries of Darkness,-1,-1,-1
498,Little Nicky,9678,85000000,58292295
499,New Year's Day,262914,0,0
500,Looking for Oscar,-1,-1,-1
501,Dirk and Betty,215157,0,0
502,Drowning Mona,25166,6000000,15427192
503,Frequency,10559,31000000,68106245
504,The Guilty,567748,0,0
505,Cowboy Up,56087,0,0
506,A House by the Sea,583802,0,0
507,Point Doom,175240,0,0
508,The Simian Line,169586,0,0
509,Space Cowboys,5551,65000000,128884132
510,Sugar & Spice,16723,11000000,13276953
511,The Young Unknowns,146269,0,0
512,Greener,547009,0,0
513,Bounce,10862,35000000,36779296
514,Down to You,10472,9000000,0
515,Gone in 60 Seconds,16246,1000000,40000000
516,Hot,318256,0,0
517,Many Wives: Vows of Silence,-1,-1,-1
518,Living the Life,43914,0,0
519,The Patriot,2024,110000000,215294342
520,She Gets What She Wants,23967,0,0
521,Playing Mona Lisa,88634,3000000,0
522,Anatomy,93,2000000,8000000
523,Blade II,36586,54000000,155010032
524,Heart of Hearing,-1,-1,-1
525,Primary Suspect,214094,0,0
526,Brooklyn Sonnet,160306,0,0
527,Tomorrow Things Will Be Better,-1,-1,-1
528,Eve's Preyer,-1,-1,-1
529,Fear of Fiction,288765,0,0
530,Jordeys,-1,-1,-1
531,Last Days,310119,0,0
532,Legacy,379686,161900000,148810604
533,Magicians,10078,0,1752038
534,Mercy,180305,0,0
535,Very Annie Mary,62956,0,46352
536,Price of Glory,53263,10000000,0
537,...or Forever Hold Your Peace,638516,0,0
538,2 Bad Mice,849449,10000,0
539,420,337300,0,0
540,Art City 2: Simplicty,273383,0,0
541,Birthday Girl,2084,13000000,0
542,Catalina Trust,272479,0,0
543,Complicity,23751,0,0
544,A Distant View,-1,-1,-1
545,Dragon and the Hawk,294303,0,0
546,Insatiable Wives,291721,0,0
547,A Lord Portrait,-1,-1,-1
548,Just Visiting,56715,40000000,0
549,Cut,326423,20000000,55030051
550,Dawg's Eye View,-1,-1,-1
551,Gabriela,42109,0,0
552,King of Rain,586647,0,0
553,Riffraff,59058,0,295444
554,Shadow Game,824023,0,0
555,Shadow of the Vampire,10873,8000000,8279017
556,Surrender,391757,0,0
557,Timeless,746039,0,0
558,The Whole Nine Yards,2069,41300000,106371651
559,"Crouching Tiger, Hidden Dragon",263341,20000000,0
560,Dungeons & Dragons,11849,35000000,15185241
561,Flight of Fancy,107277,0,0
562,Heller als der Mond,101340,0,0
563,It's All About You,460322,0,0
564,Left Behind: The Movie,37302,0,0
565,Life-in-Progress,848188,0,0
566,"O Brother, Where Art Thou?",134,26000000,71868327
567,Sand,390054,0,0
568,Vatel,7093,0,0
569,Vertical Limit,11678,75000000,215663859
570,Swindle,216769,0,0
571,Cold Blooded,131475,0,0
572,Barnard Girls,-1,-1,-1
573,Circus,28978,9000000,0
574,New Best Friend,44373,0,0
575,The Fighting Temptations,22309,15000000,30238577
576,Dischord,125806,0,0
577,Jersey Guy,287973,0,0
578,The Last Stop,486962,10000,0
579,The Replacements,10393,50000000,50054511
580,Fed Up,250657,0,0
581,Widow of St Pierre,-1,-1,-1
582,28 Days,170,5000000,85720385
583,Apartment Hunting,271517,0,0
584,Bloodline: The Devil's Game,-1,-1,-1
585,Essex Boys,18394,0,0
586,Finder's Fee,5521,0,0
587,Get Over It,10050,22000000,0
588,Head Games,127505,0,14056
589,Head Over Heels,24940,14000000,13127022
590,Honest,553604,0,29404235
591,The Beach House,632304,0,0
592,Leo und Claire,266167,0,0
593,The Little Vampire,24100,35000000,27965865
594,Marlene,50837,0,3538446
595,Shadows of Memories,478416,0,0
596,Picking Up the Pieces,31774,0,0
597,Heaven & Hell,84567,0,1520000
598,The Skulls,11478,15000000,35007180
599,Shteps,792205,0,0
600,Two Boys Go Hunting,-1,-1,-1
601,No Alibi,16673,0,0
602,Under the Influence,29845,0,0
603,Urban Legends: Final Cut,12212,14000000,38574362
604,Where the Red Fern Grows,26514,0,0
605,While Supplies Last,-1,-1,-1
606,Married 2 Malcolm,271003,0,0
607,12,17134,20000000,17280326
608,Stardom,900768,0,0
609,Black Ball,319792,0,0
610,Enemies of Laughter,229126,0,0
611,Merlin: The Return,53105,0,0
612,The Order,675,150000000,938212738
613,Orphan,21208,20000000,77912251
614,The Robot Family,-1,-1,-1
615,Summer Rain,71209,0,0
616,Looking for Leonard,408784,0,0
617,Texas Rangers,13503,0,0
618,Unforeseen,55019,0,0
619,A Shot at Glory,72087,0,0
620,Dangerous Curves,93937,3200000,0
621,Leak,71821,0,0
622,Meet Prince Charming,61656,0,0
623,Panic,4547,48000000,197079546
624,Chain of Fools,20682,20000000,0
625,The Stray,470205,0,0
626,We Married Margo,493515,0,0
627,Beyond the Pale,291259,0,0
628,Hitmen,16881,0,0
629,Lies... in Love,-1,-1,-1
630,Saving Grace,2360,10000000,26330482
631,Starforce,27775,1250000,0
632,Harold Robbins' Body Parts,113399,0,0
633,Berlin Nights,155245,0,0
634,Death-Defying Acts,13910,20000000,8380329
635,Alone with a Stranger,221841,0,0
636,Erin Brockovich,462,52000000,256271286
637,Final Destination,9532,23000000,112880294
638,Here on Earth,13539,15000000,10873148
639,Kin,874948,0,0
640,Knockout,58448,9000000,0
641,Mysteries,582623,0,0
642,Newsbreak,279700,0,0
643,Next Friday,10471,11000000,59827328
644,Sam the Man,80285,0,0
645,Samsara,89708,4000000,0
646,Sunset Stripper Murdrs,-1,-1,-1
647,MVP: Most Valuable Primate,32834,0,0
648,Ticker,31002,7000000,0
649,Small Time Crooks,10569,0,0
650,The Wrecking Crew,70027,0,0
651,The Right Temptation,55921,0,0
652,Zoolander,9398,28000000,60780981
653,"Free Delivery, the Horror!",-1,-1,-1
654,Lockdown,351901,0,0
655,Forever Lulu,17806,20000000,0
656,Melting Glass,-1,-1,-1
657,Escape Under Pressure,64125,0,0
658,What's Cooking?,77434,0,0
659,Wings of the Crow,446034,0,0
660,Black Sea Raid,339484,0,0
661,Crime + Punishment in Suburbia,46119,0,26394
662,Live Freaky Die Freaky,58520,0,0
663,Loveblind,213867,0,0
664,Lush,55144,500000,0
665,Paranoid,1990,0,486021
666,Partners in Crime,292867,0,0
667,See Jane Run,295527,0,0
668,Strange Cargo,50271,0,0
669,The Surprise Party,112334,0,0
670,Tiger Claws III,205680,0,0
671,Vampires Anonymous,61043,0,0
672,29 and Holding,245127,0,0
673,Where the Heart Is,10564,15000000,33771174
674,After Sex,17097,825000,0
675,Baby Luv,212489,0,0
676,The Crew,14575,3600000,0
677,East of A,678869,0,0
678,Escape to Grizzly Mountain,55698,0,0
679,Mergers & Acquisitions,-1,-1,-1
680,"Monsters, Inc.",585,115000000,562816256
681,Ashling's Fury,-1,-1,-1
682,Passion's Desire,276798,0,0
683,Perfect Fit,800669,0,0
684,Recipe for Disaster,52340,0,0
685,Secret Pleasures,252969,0,0
686,The Visit,298312,5000000,98450062
687,3 Strikes,47816,6000000,9000000
688,About Adam,18168,0,802951
689,Bontoc Eulogy,439338,0,0
690,Druids,750855,100,0
691,The Exchange,718916,0,0
692,Hitting the Wall,-1,-1,-1
693,In the Cut,10944,12000000,23726793
694,Jill Rips,122163,2000000,0
695,Love & Basketball,14736,20000000,27728118
696,"Love, Honor and Obey",184562,0,0
697,Lucy You Love It,-1,-1,-1
698,Mambo Café,148885,0,0
699,Red Planet,8870,80000000,33463969
700,Old Master Q 2001,45479,0,0
701,The Prophet's Game,71115,0,0
702,Riding in Cars with Boys,11091,48000000,35743308
703,Stanley's Gig,199592,0,0
704,Cheeky,126003,0,0
705,Lover's Prayer,67277,0,0
706,Diamond Men,34714,0,0
707,The Bank Job,8848,20000000,64822796
708,Beautiful Joe,32067,0,0
709,Between the Moon and Montevideo,550657,0,0
710,The Chameleon,58258,0,0
711,Chuck & Buck,44490,0,0
712,Coyote Ugly,6282,45000000,113916474
713,The Golden Bowl,29946,15000000,5753678
714,The House of Mirth,25520,10000000,5164404
715,Totally Blonde,2132,0,0
716,The Rising Place,152023,0,0
717,True Rights,-1,-1,-1
718,The Shrink Is In,66668,6000000,0
719,Rip It Off,34620,0,0
720,The Body,28308,0,0
721,The Cheapest Movie Ever Made,324280,0,0
722,House!,672582,0,0
723,Longshot,323048,0,0
724,The Last Producer,116683,0,0
725,Lost in the Pershing Point Hotel,287845,0,0
726,"Love, Lust & Joy",-1,-1,-1
727,Survival Island,9753,9000000,0
728,A Rumor of Angels,50225,0,0
729,Just One Night,73928,0,0
730,Sister Blue,80516,500,0
731,Tribulation,77787,0,0
732,Arc 1387,-1,-1,-1
733,Childhood,747512,0,0
734,Deep Core,89068,0,0
735,Past/Imperfect,73308,0,0
736,Frost,9745,27000000,0
737,Whatever It Takes,16222,15000000,9902115
738,Killing Time at Mickey's,-1,-1,-1
739,Labor Day,130150,18000000,20275812
740,"Leif Erickson, Discoverer of North America",221339,0,0
741,Life of the Party,399796,30000000,61700416
742,Love.com,448763,0,0
743,Rock Star,12508,57000000,16991902
744,My Next Funeral,-1,-1,-1
745,Rope Art,-1,-1,-1
746,That Summer in LA,-1,-1,-1
